"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2885,592450,"Judge, Aaron",2885,100,0.322,0.379,0.367,0.701,0.476,0.479,0.31,180,559,96.2,19,2278,89.4,89.61,372,1213,1672,0.19999999999998863,6.51,106,151,124,145,307,332,294,"-96.5","96.5","75.7","8.1",684,390,85,36,1,58,171,25,113,16.5,2.33468,0.56683,0.27492,-0.01048,"94.4",189,61.02564102564103,26.923076923076923,15.350877192982457,5.77,-0.86,0.22,2.34,0.442,105,"3.345857886",0.433,0.723,"-3.345857886",0.012,0.009000000000000008,-0.022,-0.003,30.7,"38.5"
2838,660271,"Ohtani, Shohei",2838,100,0.31,0.336,0.336,0.646,0.431,0.442,0.314,197,636,95.7,16,2233,89.4,89.68,400,1343,1495,0.29999999999999716,6.41,117,146,130,152,301,326,307,"-66.9","66.9","74.7","7.7",721,479,98,38,7,54,162,22.5,71,9.8,2.34087,0.54775,0.34484,-0.16328,"94.5",173,60.125260960334025,21.50313152400835,14.285714285714285,5.76,-0.57,-0.13,2.35,0.382,103,"2.356800564",0.388,0.66,"-2.356800564",-0.004,-0.006000000000000005,-0.014,-0.011,29.8,"38.0"
2600,677951,"Witt Jr., Bobby",2600,100,0.332,0.256,0.354,0.588,0.41,0.407,0.315,211,636,92.7,15.1,2289,89.2,89.62,296,1330,1270,0.3999999999999915,6.46,108,150,120,146,311,328,296,"-59.6","59.6","73.2","7.0",700,538,123,45,11,32,106,15.1,48,6.9,2.315,0.58221,0.19924,0.07073,"93.2",178,48.3271375464684,14.312267657992564,11,5.79,-1.08,0.37,2.28,0.381,77,"2.294",0.37,0.577,"-2.294",0.017,0.01100000000000001,0.011,0.003,22.3,"40.6"
2960,665742,"Soto, Juan",2960,100,0.289,0.282,0.298,0.57,0.421,0.463,0.317,166,575,93.5,10.1,2242,88.9,89.13,237,1101,1859,0.19999999999998863,6.46,116,146,122,151,296,329,300,"-69.1","69.1","72.9","7.2",710,461,90,31,4,41,118,16.6,127,17.9,2.40744,0.51921,0.3688,-0.2046,"94.3",159,56.83297180043384,19.739696312364423,12.816901408450704,5.76,-0.65,-0.16,2.15,0.418,91,"2.33402027",0.444,0.647,"-2.33402027",-0.028,-0.026000000000000023,-0.077,-0.042,21.5,"37.8"
2264,670541,"Alvarez, Yordan",2264,100,0.309,0.26,0.317,0.568,0.402,0.411,0.304,170,551,93,18.1,2269,89.3,89.34,215,1083,1181,0,6.41,117,146,131,152,294,332,302,"-40.3","40.3","75.2","7.5",617,461,99,34,2,35,94,15.2,52,8.4,2.26648,0.64711,0.33582,-0.13232,"93.5",180,49.67462039045553,14.533622559652928,10.85899513776337,5.81,-0.6,-0.13,2.43,0.376,67,"1.781978799",0.372,0.596,"-1.781978799",0.005,0.0040000000000000036,-0.028,-0.009,19.9,"38.1"
2378,667670,"Rooker, Brent",2378,100,0.293,0.269,0.362,0.562,0.392,0.38,0.266,160,546,91.9,18.9,2265,89,89.19,407,1193,1185,0.20000000000000284,6.44,108,151,123,146,303,324,295,"-44.7","44.7","71.8","7.0",610,373,93,26,2,39,177,29,55,9,2.30904,0.61586,0.323,0.14753,"92.6",171,49.597855227882036,16.621983914209114,10.163934426229508,5.78,-1.07,0.26,2.28,0.361,62,"1.880067283",0.337,0.557,"-1.880067283",0.027,0.023999999999999966,0.005,0.012,34.1,"38.1"
2146,606466,"Marte, Ketel",2146,100,0.292,0.268,0.299,0.56,0.391,0.392,0.294,147,504,93.7,9.2,2184,89.4,89.75,220,1035,1111,0.3999999999999915,6.46,114,148,118,149,298,326,302,"-36.9","36.9","72.0","7.5",576,407,86,23,2,36,106,18.4,58,10.1,2.26152,0.62315,0.4392,-0.4392,"93.7",156,53.8083538083538,12.285012285012286,8.680555555555555,5.79,-0.56,-0.07,2.35,0.365,50,"1.717287978",0.371,0.538,"-1.717287978",-0.002,-0.006000000000000005,0.022,-0.001,21.3,"39.4"
2875,542303,"Ozuna, Marcell",2875,100,0.302,0.244,0.359,0.546,0.395,0.402,0.287,183,606,92.2,14.4,2264,89.2,89.61,422,1345,1528,0.3999999999999915,6.54,108,151,124,147,309,329,298,"-38.6","38.6","72.3","7.3",686,440,113,31,0,39,170,24.8,72,10.5,2.37156,0.53876,0.29858,0.0469,"93.0",173,53.40909090909091,15.454545454545453,9.912536443148689,5.8,-0.87,0.3,2.26,0.377,68,"1.342226087",0.366,0.573,"-1.342226087",0.015,0.01100000000000001,-0.027,-0.007,31.4,"38.3"
2602,665489,"Guerrero Jr., Vladimir",2602,100,0.323,0.221,0.342,0.544,0.398,0.408,0.321,199,616,93.8,7.4,2267,90.2,90.38,268,1249,1352,0.20000000000000284,6.47,108,151,124,147,305,328,294,"-46.2","46.2","74.6","7.7",685,524,124,44,1,30,96,14,60,8.8,2.18773,0.65857,0.40917,0.13929,"93.8",156,54.770992366412216,13.740458015267176,10.510948905109489,5.73,-1.07,0.16,2.36,0.385,72,"1.776249039",0.384,0.567,"-1.776249039",0.002,0.0010000000000000009,-0.023,-0.01,21.5,"37.4"
2735,608070,"Ramírez, José",2735,100,0.279,0.258,0.265,0.537,0.364,0.329,0.259,173,620,89.2,19.6,2218,88.7,88.96,205,1352,1382,0.29999999999999716,6.43,112,146,125,149,295,324,296,"-36.8","36.8","69.8","7.2",670,544,93,39,2,39,82,12.2,42,6.3,2.43954,0.49642,0.34454,-0.34383,"92.6",167,39.705882352941174,8.63970588235294,7.014925373134329,5.76,-0.99,-0.17,2.24,0.323,47,"1.344533821",0.307,0.453,"-1.344533821",0.02,0.016000000000000014,0.084,0.035,15.2,"37.9"
